міндетінен	міндет:ROOT/і:MORPH/нен:MORPH
шешендердің	шешен:ROOT/дер:MORPH/дің:MORPH
көру	көр:ROOT/у:MORPH
сүйенетін	сүйен:ROOT/етін:MORPH
түсіріп	түс:ROOT/ір:MORPH/іп:MORPH
айналдырумен	айнал:ROOT/дыр:MORPH/у:MORPH/мен:MORPH
толы	толы:ROOT
ниетпен	ниет:ROOT/пен:MORPH
отырып	отыр:ROOT/ып:MORPH
бәрінен	бәр:ROOT/і:MORPH/нен:MORPH
мақсатында	мақсат:ROOT/ы:MORPH/нда:MORPH
Бұл	Бұл:ROOT
Өйткені	Өйткені:ROOT
адамдардың	адам:ROOT/дар:MORPH/дың:MORPH
теріске	теріс:ROOT/ке:MORPH
бәрін	бәрін:ROOT
де	де:ROOT
арқылы	арқылы:ROOT
өнімі	өнім:ROOT/і:MORPH
беретін	бер:ROOT/етін:MORPH
объектілер	объекті:ROOT/лер:MORPH
мүлде	мүлде:ROOT
ашуға	ашу:ROOT/ға:MORPH
олар	о:ROOT/лар:MORPH
бөлікке	бөлік:ROOT/ке:MORPH
келген	кел:ROOT/ген:MORPH
жиналғандардан	жина:ROOT/л:MORPH/ған:MORPH/дар:MORPH/дан:MORPH
қалыптасуы	қалып:ROOT/тас:MORPH/у:MORPH/ы:MORPH
факультетінде	факультет:ROOT/і:MORPH/н:MORPH/де:MORPH
мәнінде	мән:ROOT/і:MORPH/н:MORPH/де:MORPH
әзелгі	әзел:ROOT/гі:MORPH
кейінгі	кейін:ROOT/гі:MORPH
көлденең	көлденең:ROOT
тізгінін	тізгін:ROOT/і:MORPH/н:MORPH
еткенін	ет:ROOT/кен:MORPH/і:MORPH/н:MORPH
Бұл	Бұл:ROOT
туралы	туралы:ROOT
ойларын	ой:ROOT/лар:MORPH/ы:MORPH/н:MORPH
бөлек	бөлек:ROOT
екенін	е:ROOT/кен:MORPH/ін:MORPH
ғылымдар	ғылым:ROOT/дар:MORPH
әлі	әлі:ROOT
екі	екі:ROOT
Алкивиадтың	Алкивиад:ROOT/тың:MORPH
сөйлеу	сөйле:ROOT/у:MORPH
шығармасы	шығ:ROOT/ар:MORPH/ма:MORPH/сы:MORPH
бірер	бірер:ROOT
мағынасы	мағына:ROOT/сы:MORPH
жылдардың	жыл:ROOT/дар:MORPH/дың:MORPH
бастап	бас:ROOT/та:MORPH/п:MORPH
идеялардың	идея:ROOT/лар:MORPH/дың:MORPH
деп	де:ROOT/п:MORPH
XI	XI:ROOT
кең	кең:ROOT
ақыры	ақыры:ROOT
ілімі	ілім:ROOT/і:MORPH
жыл	жыл:ROOT
ойлар	ой:ROOT/лар:MORPH
бұл	бұл:ROOT
Олардан	О:ROOT/лар:MORPH/дан:MORPH
жүйе	жүйе:ROOT
Шатле	Шатле:ROOT
өзіне	өз:ROOT/і:MORPH/не:MORPH
ескертпелерін	ескер:ROOT/т:MORPH/пе:MORPH/лер:MORPH/і:MORPH/н:MORPH
алуандығын	алуан:ROOT/дығ:MORPH/ы:MORPH/н:MORPH
ықпалын	ықпа:ROOT/лы:MORPH/н:MORPH
болар	бол:ROOT/ар:MORPH
алып	ал:ROOT/ып:MORPH
ескертуіміз	ескер:ROOT/т:MORPH/у:MORPH/іміз:MORPH
Өйткені	Өйткені:ROOT
барлығының	барлығ:ROOT/ы:MORPH/ның:MORPH
манифест	манифест:ROOT
өздеріне	өз:ROOT/дер:MORPH/і:MORPH/не:MORPH
білімді	біл:ROOT/ім:MORPH/ді:MORPH
дәлел	дәлел:ROOT
бермеуінің	бер:ROOT/ме:MORPH/у:MORPH/і:MORPH/нің:MORPH
тоғысады	тоғыс:ROOT/а:MORPH/ды:MORPH
тәні	тән:ROOT/і:MORPH
оның	о:ROOT/ның:MORPH
барын	бар:ROOT/ы:MORPH/н:MORPH
туралы	туралы:ROOT
өз	өз:ROOT
ұйғарады	ұйғар:ROOT/а:MORPH/ды:MORPH
тұжырымдағандай	тұжырым:ROOT/да:MORPH/ған:MORPH/дай:MORPH
төртінші	төрт:ROOT/інші:MORPH
түсу	түс:ROOT/у:MORPH
махаббат	махаббат:ROOT
құқы	құқ:ROOT/ы:MORPH
ерекшеленеді	ерекше:ROOT/лен:MORPH/е:MORPH/ді:MORPH
патша	патша:ROOT
ажалсыздық	ажал:ROOT/сыз:MORPH/дық:MORPH
түсіндіретін	түс:ROOT/ін:MORPH/дір:MORPH/етін:MORPH
туындысы	туынды:ROOT/сы:MORPH
адамның	адам:ROOT/ның:MORPH
ынтызарлық	ынтызар:ROOT/лық:MORPH
артықшылығы	артық:ROOT/шылығ:MORPH/ы:MORPH
Франсуа	Франсуа:ROOT
композициясы	композиция:ROOT/сы:MORPH
алғашқы	алғаш:ROOT/қы:MORPH
Платон	Платон:ROOT
Ол	Ол:ROOT
махаббаты	махаббат:ROOT/ы:MORPH
жобаны	жоба:ROOT/ны:MORPH
тек	тек:ROOT
қазіргі	қазір:ROOT/гі:MORPH
айырылған	айыр:ROOT/ыл:MORPH/ған:MORPH
соған	со:ROOT/ған:MORPH
ақиқат	ақиқат:ROOT
жетелейтін	жете:ROOT/ле:MORPH/йтін:MORPH
Бұқара	Бұқара:ROOT
сұхбаттың	сұхбат:ROOT/тың:MORPH
дәйектемелер	дәйек:ROOT/теме:MORPH/лер:MORPH
жеке	жеке:ROOT
Сол	Сол:ROOT
жұрт	жұрт:ROOT
береді	бер:ROOT/е:MORPH/ді:MORPH
сауығу	сауығ:ROOT/у:MORPH
айтылады	айт:ROOT/ыл:MORPH/а:MORPH/ды:MORPH
келтіру	келтір:ROOT/у:MORPH
Сократ	Сократ:ROOT
ұмтылды	ұмтыл:ROOT/ды:MORPH
әкелу	әкел:ROOT/у:MORPH
Симпозиумның	Симпозиум:ROOT/ның:MORPH
түсіндіріп	түсін:ROOT/дір:MORPH/іп:MORPH
әңгіменің	әңгіме:ROOT/нің:MORPH
салыстыра	салыс:ROOT/тыр:MORPH/а:MORPH
Гоббс	Гоббс:ROOT
жол	жол:ROOT
және	және:ROOT
ал	ал:ROOT
кәсіпқой	кәсіп:ROOT/қой:MORPH
Спинозаның	Спиноза:ROOT/ның:MORPH
осы	осы:ROOT
әйел	әйел:ROOT
Левиафан	Левиафан:ROOT
Бірақ	Бірақ:ROOT
лайықталмаған	лайық:ROOT/та:MORPH/л:MORPH/ма:MORPH/ған:MORPH
аяқталады	аяқ:ROOT/та:MORPH/ла:MORPH/ды:MORPH
көрінеді	көр:ROOT/ін:MORPH/е:MORPH/ді:MORPH
қысылуына	қыс:ROOT/ыл:MORPH/у:MORPH/ы:MORPH/на:MORPH
әкесінің	әке:ROOT/сі:MORPH/нің:MORPH
Өйткені	Өйткені:ROOT
ұласады	ұлас:ROOT/а:MORPH/ды:MORPH
лар	лар:ROOT
түрткі	түрт:ROOT/кі:MORPH
пайдаланады	пайда:ROOT/лан:MORPH/а:MORPH/ды:MORPH
Геометрия	Геометрия:ROOT
әр	әр:ROOT
табыну	табын:ROOT/у:MORPH
Табиғи	Табиғ:ROOT/и:MORPH
білім	білім:ROOT
Сократтың	Сократ:ROOT/тың:MORPH
үйлестіре	үйлес:ROOT/тір:MORPH/е:MORPH
туралы	туралы:ROOT
шыққан	шық:ROOT/қан:MORPH
тұрғысынан	тұрғы:ROOT/сы:MORPH/нан:MORPH
ойлы	ой:ROOT/лы:MORPH
саясатпен	саясат:ROOT/пен:MORPH
ойсезімдік	ойсе:ROOT/зім:MORPH/дік:MORPH
Сілтеме	Сілте:ROOT/ме:MORPH
Король	Король:ROOT
құтылып	құтыл:ROOT/ып:MORPH
онымен	о:ROOT/ны:MORPH/мен:MORPH
құндылығы	құн:ROOT/дылығ:MORPH/ы:MORPH
Бірақ	Бірақ:ROOT
мағынасында	мағына:ROOT/сы:MORPH/н:MORPH/да:MORPH
тәжірибе	тәжірибе:ROOT
туған	ту:ROOT/ған:MORPH
шаруа	шаруа:ROOT
достарына	дос:ROOT/тар:MORPH/ы:MORPH/на:MORPH
ғылым	ғылым:ROOT
екенін	е:ROOT/кен:MORPH/ін:MORPH
ұнататындардың	ұна:ROOT/т:MORPH/атын:MORPH/дар:MORPH/дың:MORPH
ғылымы	ғылым:ROOT/ы:MORPH
қызықты	қызық:ROOT/ты:MORPH
алады	ал:ROOT/а:MORPH/ды:MORPH
ештеңе	ештеңе:ROOT
тиеді	тиеді:ROOT
нәтижесі	нәтиже:ROOT/сі:MORPH
әкеліп	әкел:ROOT/іп:MORPH
өзегінде	өзег:ROOT/і:MORPH/н:MORPH/де:MORPH
сан	сан:ROOT
табуды	таб:ROOT/у:MORPH/ды:MORPH
саяси	саяс:ROOT/и:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
қалып	қал:ROOT/ып:MORPH
ахуалда	ахуал:ROOT/да:MORPH
лордтың	лорд:ROOT/тың:MORPH
ақылды	ақыл:ROOT/ды:MORPH
арналған	арна:ROOT/л:MORPH/ған:MORPH
пайымдар	пайым:ROOT/дар:MORPH
қайғыға	қайғы:ROOT/ға:MORPH
ол	ол:ROOT
жоғалтуы	жоғалт:ROOT/у:MORPH/ы:MORPH
әжуалағанымен	әжуала:ROOT/ған:MORPH/ы:MORPH/мен:MORPH
Пифагордың	Пифагор:ROOT/дың:MORPH
тұлға	тұлға:ROOT
идеялар	идея:ROOT/лар:MORPH
жүргізетін	жүр:ROOT/гіз:MORPH/етін:MORPH
астрономия	астрономия:ROOT
сыр	сыр:ROOT
Аристофанды	Аристофан:ROOT/ды:MORPH
Гоббстің	Гоббс:ROOT/тің:MORPH
зейінділік	зейін:ROOT/ді:MORPH/лік:MORPH
кейін	кейін:ROOT
тізіп	тіз:ROOT/іп:MORPH
ойларды	ой:ROOT/лар:MORPH/ды:MORPH
жаңашылдыққа	жаңа:ROOT/шыл:MORPH/дық:MORPH/қа:MORPH
тартылыс	тарт:ROOT/ыл:MORPH/ыс:MORPH
бірге	бір:ROOT/ге:MORPH
сабақтап	сабақ:ROOT/та:MORPH/п:MORPH
пікірлердің	пікір:ROOT/лер:MORPH/дің:MORPH
жүгінудің	жүгін:ROOT/у:MORPH/дің:MORPH
априори	априори:ROOT
тұруда	тұр:ROOT/у:MORPH/да:MORPH
Бірақ	Бірақ:ROOT
ойын	ой:ROOT/ы:MORPH/н:MORPH
қалдырады	қал:ROOT/дыр:MORPH/а:MORPH/ды:MORPH
алғашқы	алғаш:ROOT/қы:MORPH
махаббат	махаббат:ROOT
және	және:ROOT
танытады	таны:ROOT/т:MORPH/а:MORPH/ды:MORPH
өзінің	өз:ROOT/і:MORPH/нің:MORPH
әділдікті	әділ:ROOT/дік:MORPH/ті:MORPH
сайын	сайын:ROOT
екенін	е:ROOT/кен:MORPH/і:MORPH/н:MORPH
бірінбірі	бір:ROOT/інбір:MORPH/і:MORPH
қарсыластарын	қарсы:ROOT/лас:MORPH/тар:MORPH/ы:MORPH/н:MORPH
өмір	өмір:ROOT
тапса	тап:ROOT/са:MORPH
аздап	аздап:ROOT
қашықтықтан	қашық:ROOT/тық:MORPH/тан:MORPH
Түптеп	Түпте:ROOT/п:MORPH
ПорРояльдің	ПорРояль:ROOT/дің:MORPH
білім	біл:ROOT/ім:MORPH
жүзіне	жүз:ROOT/і:MORPH/не:MORPH
соғысын	соғыс:ROOT/ы:MORPH/н:MORPH
мысалы	мысалы:ROOT
құлқы	құлқ:ROOT/ы:MORPH
орнығуы	орнығ:ROOT/у:MORPH/ы:MORPH
деген	де:ROOT/ген:MORPH
университеттің	университет:ROOT/тің:MORPH
қараудың	қара:ROOT/у:MORPH/дың:MORPH
теорияларға	теория:ROOT/лар:MORPH/ға:MORPH
қабылдау	қабыл:ROOT/да:MORPH/у:MORPH
да	да:ROOT
да	да:ROOT
оның	о:ROOT/ның:MORPH
қойды	қой:ROOT/ды:MORPH
осы	осы:ROOT
көтерілді	көтер:ROOT/іл:MORPH/ді:MORPH
еркін	еркін:ROOT
Толғаныстар	Толған:ROOT/ыс:MORPH/тар:MORPH
баяндаудың	баян:ROOT/да:MORPH/у:MORPH/дың:MORPH
бұл	бұл:ROOT
жылнамалық	жылна:ROOT/ма:MORPH/лық:MORPH
сияқты	сияқты:ROOT
жазған	жаз:ROOT/ған:MORPH
сөздері	сөз:ROOT/дер:MORPH/і:MORPH
оның	о:ROOT/ның:MORPH
арқылы	арқылы:ROOT
пікірлерін	пікір:ROOT/лер:MORPH/і:MORPH/н:MORPH
көбірек	көб:ROOT/ірек:MORPH
пәледен	пәле:ROOT/ден:MORPH
сәулесінің	сәуле:ROOT/сі:MORPH/нің:MORPH
әр	әр:ROOT
бетінде	бет:ROOT/і:MORPH/н:MORPH/де:MORPH
немесе	немесе:ROOT
ойды	ой:ROOT/ды:MORPH
басылып	бас:ROOT/ыл:MORPH/ып:MORPH
рет	рет:ROOT
араласады	аралас:ROOT/а:MORPH/ды:MORPH
тұтас	тұтас:ROOT
соның	со:ROOT/ның:MORPH
асыл	асыл:ROOT
болып	бол:ROOT/ып:MORPH
қылмыс	қылмыс:ROOT
Пікірталасқа	Пікір:ROOT/талас:MORPH/қа:MORPH
Декарт	Декарт:ROOT
тұрған	тұр:ROOT/ған:MORPH
әрекет	әрекет:ROOT
ойын	ой:ROOT/ы:MORPH/н:MORPH
махаббаттың	махаббат:ROOT/тың:MORPH
келісетінінен	келіс:ROOT/етін:MORPH/і:MORPH/нен:MORPH
ғылымның	ғылым:ROOT/ның:MORPH
білуде	біл:ROOT/у:MORPH/де:MORPH
қозғалысты	қозғал:ROOT/ыс:MORPH/ты:MORPH
үшін	үшін:ROOT
Пегги	Пегги:ROOT
кейін	кейін:ROOT
формаға	форма:ROOT/ға:MORPH
екен	е:ROOT/кен:MORPH
сөзі	сөз:ROOT/і:MORPH
өзіне	өз:ROOT/і:MORPH/не:MORPH
болуы	бол:ROOT/у:MORPH/ы:MORPH
кейін	кейін:ROOT
жалғастыра	жалғас:ROOT/тыр:MORPH/а:MORPH
жағдайларды	жағдай:ROOT/лар:MORPH/ды:MORPH
Бұл	Бұл:ROOT
Сұлулық	Сұлу:ROOT/лық:MORPH
дербес	дербес:ROOT
айтуынша	айт:ROOT/у:MORPH/ы:MORPH/н:MORPH/ша:MORPH
идеялардың	идея:ROOT/лар:MORPH/дың:MORPH
жанды	жан:ROOT/ды:MORPH
не	не:ROOT
қозғалыс	қозғалыс:ROOT
ұзақ	ұзақ:ROOT
үңгірдің	үңгір:ROOT/дің:MORPH
Логос	Логос:ROOT
келеді	кел:ROOT/е:MORPH/ді:MORPH
сол	сол:ROOT
төтенше	төтен:ROOT/ше:MORPH
бақытынан	бақыт:ROOT/ы:MORPH/нан:MORPH
негізгі	негіз:ROOT/гі:MORPH
ал	ал:ROOT
және	және:ROOT
болғанын	бол:ROOT/ған:MORPH/ы:MORPH/н:MORPH
тәндік	тән:ROOT/дік:MORPH
орайда	орай:ROOT/да:MORPH
өзінің	өз:ROOT/і:MORPH/нің:MORPH
мүмкіндік	мүмкін:ROOT/дік:MORPH
сабасына	саба:ROOT/сы:MORPH/на:MORPH
дәуірдің	дәуір:ROOT/дің:MORPH
ләззатына	ләззат:ROOT/ы:MORPH/на:MORPH
ақындық	ақын:ROOT/дық:MORPH
қатысты	қатыс:ROOT/ты:MORPH
Эриксимах	Эриксимах:ROOT
Диалогтың	Диалог:ROOT/тың:MORPH
шешендік	шешен:ROOT/дік:MORPH
мазмұннан	мазмұн:ROOT/нан:MORPH
берік	берік:ROOT
жетік	жетік:ROOT
Сократ	Сократ:ROOT
ақиқатты	ақиқат:ROOT/ты:MORPH
алдымен	ал:ROOT/ды:MORPH/мен:MORPH
айтқан	айт:ROOT/қан:MORPH
едәуір	едәуір:ROOT
қалай	қалай:ROOT
ағылшын	ағылшын:ROOT
Дәстүрге	Дәстүр:ROOT/ге:MORPH
әңгімеде	әңгіме:ROOT/де:MORPH
қастерлі	қастер:ROOT/лі:MORPH
іс	іс:ROOT
ажырамаған	ажыра:ROOT/ма:MORPH/ған:MORPH
жоғары	жоғары:ROOT
арасында	ара:ROOT/сы:MORPH/н:MORPH/да:MORPH
ғана	ғана:ROOT
пайымпарасат	пайымпарасат:ROOT
Аристофан	Аристофан:ROOT
Диотиманың	Диотима:ROOT/ның:MORPH
өнерге	өнер:ROOT/ге:MORPH
Махаббат	Махаббат:ROOT
Алкивиад	Алкивиад:ROOT
осы	осы:ROOT
демек	демек:ROOT
кесілгенін	кесіл:ROOT/ген:MORPH/ін:MORPH
өтіп	өт:ROOT/іп:MORPH
түсіріп	түс:ROOT/ір:MORPH/іп:MORPH
сөз	сөз:ROOT
әкелетін	әкел:ROOT/етін:MORPH
ол	ол:ROOT
іліміне	ілім:ROOT/і:MORPH/не:MORPH
пікірі	пікір:ROOT/і:MORPH
және	және:ROOT
Декарт	Декарт:ROOT
келуіне	кел:ROOT/у:MORPH/і:MORPH/не:MORPH
біздің	біз:ROOT/дің:MORPH
Дегенмен	Де:ROOT/ген:MORPH/мен:MORPH
әдістің	әдіс:ROOT/тің:MORPH
аралық	ара:ROOT/лық:MORPH
асқысы	асқ:ROOT/ыс:MORPH/ы:MORPH
себеп	себеп:ROOT
III	III:ROOT
латын	латын:ROOT
шебер	шебер:ROOT
әулекі	әулекі:ROOT
қатысты	қатысты:ROOT
сәйкес	сәйкес:ROOT
Лейбниц	Лейбниц:ROOT
айналысады	айнал:ROOT/ыс:MORPH/а:MORPH/ды:MORPH
сөзін	сөз:ROOT/і:MORPH/н:MORPH
арналған	арна:ROOT/л:MORPH/ған:MORPH
ұрпақ	ұрпақ:ROOT
Логика	Логика:ROOT
шындыққа	шын:ROOT/дық:MORPH/қа:MORPH
сүйенсе	сүйен:ROOT/се:MORPH
дәрігер	дәрі:ROOT/гер:MORPH
ойшылдың	ой:ROOT/шыл:MORPH/дың:MORPH
күш	күш:ROOT
Сократтың	Сократ:ROOT/тың:MORPH
махаббат	махаббат:ROOT
кез	кез:ROOT
болып	бол:ROOT/ып:MORPH
біледі	біл:ROOT/е:MORPH/ді:MORPH
місе	місе:ROOT
осы	осы:ROOT
құштар	құштар:ROOT
кедергі	кедергі:ROOT
тек	тек:ROOT
қателікке	қате:ROOT/лік:MORPH/ке:MORPH
көңіл	көңіл:ROOT
яки	яки:ROOT
лорд	лорд:ROOT
қозғалысы	қозғалыс:ROOT/ы:MORPH
алғашқы	алғаш:ROOT/қы:MORPH
тіршілік	тір:ROOT/шілік:MORPH
беретін	бер:ROOT/етін:MORPH
құмарлықтан	құмар:ROOT/лық:MORPH/тан:MORPH
дүниелерден	дүние:ROOT/лер:MORPH/ден:MORPH
асып	асып:ROOT
ғана	ғана:ROOT
қызметін	қызмет:ROOT/і:MORPH/н:MORPH
тапқан	тап:ROOT/қан:MORPH
Шешендер	Шешен:ROOT/дер:MORPH
сөз	сөз:ROOT
басталады	баст:ROOT/ал:MORPH/а:MORPH/ды:MORPH
құрастырып	құрас:ROOT/тыр:MORPH/ып:MORPH
шығарма	шығ:ROOT/ар:MORPH/ма:MORPH
ақиқаттан	ақиқат:ROOT/тан:MORPH
алмасымыз	ал:ROOT/мас:MORPH/ымыз:MORPH
Сократтың	Сократ:ROOT/тың:MORPH
иелігін	ие:ROOT/ліг:MORPH/і:MORPH/н:MORPH
түсіріп	түс:ROOT/ір:MORPH/іп:MORPH
сенімнен	сен:ROOT/ім:MORPH/нен:MORPH
дегеніміз	де:ROOT/ген:MORPH/іміз:MORPH
ие	ие:ROOT
күн	күн:ROOT
дәуірдің	дәуір:ROOT/дің:MORPH
бзд	бзд:ROOT
осы	осы:ROOT
көздің	көз:ROOT/дің:MORPH
майевтика	майевтика:ROOT
Ол	Ол:ROOT
алысу	алыс:ROOT/у:MORPH
тыюда	ты:ROOT/ю:MORPH/да:MORPH
тирандарды	тиран:ROOT/дар:MORPH/ды:MORPH
ұмтылысы	ұмты:ROOT/лыс:MORPH/ы:MORPH
Олардың	О:ROOT/лар:MORPH/дың:MORPH
құбылыстары	құбылыс:ROOT/тар:MORPH/ы:MORPH
менің	ме:ROOT/нің:MORPH
тез	тез:ROOT
өз	өз:ROOT
Сократтың	Сократ:ROOT/тың:MORPH
екенін	е:ROOT/кен:MORPH/ін:MORPH
өзіңізге	өз:ROOT/іңіз:MORPH/ге:MORPH
пайдейя	пайдейя:ROOT
лорд	лорд:ROOT
дейін	дейін:ROOT
көрді	көр:ROOT/ді:MORPH
қылады	қыл:ROOT/а:MORPH/ды:MORPH
бағынбайтын	бағын:ROOT/ба:MORPH/йтын:MORPH
Алкивиад	Алкивиад:ROOT
формасында	формас:ROOT/ы:MORPH/н:MORPH/да:MORPH
Тұтас	Тұтас:ROOT
пен	пен:ROOT
дидактикалық	дидактика:ROOT/лық:MORPH
да	да:ROOT
интеллектуалды	интеллектуал:ROOT/ды:MORPH
жай	жай:ROOT
салады	сал:ROOT/а:MORPH/ды:MORPH
философ	философ:ROOT
бұл	бұл:ROOT
Әлеммен	Әлем:ROOT/мен:MORPH
мен	мен:ROOT
бермейді	бер:ROOT/ме:MORPH/й:MORPH/ді:MORPH
диалогтың	диалог:ROOT/тың:MORPH
мен	мен:ROOT
интеллектуалдық	интеллектуал:ROOT/дық:MORPH
ақиқат	ақиқат:ROOT
тиіс	тиіс:ROOT
дей	де:ROOT/й:MORPH
құтылу	құтыл:ROOT/у:MORPH
платондық	платон:ROOT/дық:MORPH
ұясы	ұя:ROOT/сы:MORPH
үшін	үшін:ROOT
мен	мен:ROOT
жеңістің	жеңіс:ROOT/тің:MORPH
теориясын	теория:ROOT/сы:MORPH/н:MORPH
Дәл	Дәл:ROOT
шын	шын:ROOT
ақиқатқа	ақиқат:ROOT/қа:MORPH
Сократ	Сократ:ROOT
терең	терең:ROOT
келісім	келіс:ROOT/ім:MORPH
шектелген	шек:ROOT/тел:MORPH/ген:MORPH
алдыңнан	алд:ROOT/ы:MORPH/ң:MORPH/нан:MORPH
шын	шын:ROOT
мәнінде	мән:ROOT/і:MORPH/н:MORPH/де:MORPH
тарту	тарт:ROOT/у:MORPH
бейілдігін	бейіл:ROOT/діг:MORPH/ін:MORPH
философия	философия:ROOT
кейпінде	кейп:ROOT/і:MORPH/нде:MORPH
кейін	кейін:ROOT
қамтамасыз	қамтама:ROOT/сыз:MORPH
жүйелі	жүйе:ROOT/лі:MORPH
орнын	ор:ROOT/н:MORPH/ын:MORPH
оза	оза:ROOT
мен	мен:ROOT
пайымдаудың	пайым:ROOT/да:MORPH/у:MORPH/дың:MORPH
өзінің	өз:ROOT/і:MORPH/нің:MORPH
ғана	ғана:ROOT
жоғары	жоғары:ROOT
барлық	барлық:ROOT
жарасым	жара:ROOT/сым:MORPH
төнген	төн:ROOT/ген:MORPH
Платон	Платон:ROOT
арнасынан	арна:ROOT/сы:MORPH/нан:MORPH
айтқанда	айт:ROOT/қан:MORPH/да:MORPH
екіге	екі:ROOT/ге:MORPH
олардың	олар:ROOT/дың:MORPH
елжұртының	елжұрт:ROOT/ы:MORPH/ның:MORPH
көпті	көп:ROOT/ті:MORPH
туралы	туралы:ROOT
қуатты	қуат:ROOT/ты:MORPH
оған	о:ROOT/ған:MORPH
айтқанда	айт:ROOT/қан:MORPH/да:MORPH
туралы	туралы:ROOT
тәжірибе	тәжірибе:ROOT
деп	де:ROOT/п:MORPH
болса	бол:ROOT/са:MORPH
шақыру	шақыр:ROOT/у:MORPH
қолдана	қол:ROOT/дан:MORPH/а:MORPH
талқылағанда	талқыла:ROOT/ған:MORPH/да:MORPH
өңделген	өңде:ROOT/л:MORPH/ген:MORPH
сезімнің	сез:ROOT/ім:MORPH/нің:MORPH
теңдеу	тең:ROOT/деу:MORPH
әңгімені	әңгіме:ROOT/ні:MORPH
Сократ	Сократ:ROOT
түсіндірілуге	түсін:ROOT/дір:MORPH/іл:MORPH/у:MORPH/ге:MORPH
Әдетте	Әдет:ROOT/те:MORPH
әлеуметтану	әлеуметтану:ROOT
мен	мен:ROOT
қоғамдық	қоғам:ROOT/дық:MORPH
Әрине	Әрине:ROOT
мақсаты	мақсат:ROOT/ы:MORPH
заң	заң:ROOT
енді	енді:ROOT
оның	о:ROOT/ның:MORPH
айқын	айқын:ROOT
Сократ	Сократ:ROOT
суверен	суверен:ROOT
өмірге	өмір:ROOT/ге:MORPH
мәселесін	мәселе:ROOT/сі:MORPH/н:MORPH
Федр	Федр:ROOT
бөліктерін	бөліктер:ROOT/і:MORPH/н:MORPH
ерекше	ерек:ROOT/ше:MORPH
жоғары	жоғары:ROOT
болмайды	бол:ROOT/ма:MORPH/й:MORPH/ды:MORPH
сезіледі	сез:ROOT/іл:MORPH/е:MORPH/ді:MORPH
стильде	стиль:ROOT/де:MORPH
Құдайға	Құдай:ROOT/ға:MORPH
шығады	шығ:ROOT/а:MORPH/ды:MORPH
оның	о:ROOT/ның:MORPH
жағдайда	жағдай:ROOT/да:MORPH
тұтас	тұтас:ROOT
Содан	Со:ROOT/дан:MORPH
ғана	ғана:ROOT
экономика	экономика:ROOT
төмен	төмен:ROOT
тіпті	тіпті:ROOT
бөлуге	бөл:ROOT/у:MORPH/ге:MORPH
заңын	заң:ROOT/ы:MORPH/н:MORPH
кесіппішіп	кес:ROOT/іппіш:MORPH/іп:MORPH
айрықша	айрық:ROOT/ша:MORPH
құқық	құқық:ROOT
бірдей	бір:ROOT/дей:MORPH
кейінірек	кейінірек:ROOT
сұхбат	сұхбат:ROOT
да	да:ROOT
Симпозиумнан	Симпозиум:ROOT/нан:MORPH
емес	е:ROOT/мес:MORPH
автор	автор:ROOT
игере	игер:ROOT/е:MORPH
жігерленген	жігер:ROOT/лен:MORPH/ген:MORPH
жеткізу	жет:ROOT/кіз:MORPH/у:MORPH
Табиғат	Табиғат:ROOT
Мұнда	Мұн:ROOT/да:MORPH
Симпозиум	Симпозиум:ROOT
Ал	Ал:ROOT
философиялық	философия:ROOT/лық:MORPH
береді	бер:ROOT/е:MORPH/ді:MORPH
тіліндегі	тіл:ROOT/ін:MORPH/де:MORPH/гі:MORPH
оның	о:ROOT/ның:MORPH
тұрғысынан	тұрғыс:ROOT/ы:MORPH/нан:MORPH
оның	о:ROOT/ның:MORPH
құштарлыққа	құштар:ROOT/лық:MORPH/қа:MORPH
Әділдік	Әділ:ROOT/дік:MORPH
бірдебір	бір:ROOT/дебір:MORPH
мән	мән:ROOT
Уоллистің	Уоллис:ROOT/тің:MORPH
ең	ең:ROOT
сәулелері	сәуле:ROOT/лер:MORPH/і:MORPH
өзінше	өзін:ROOT/ше:MORPH
байсалды	байсал:ROOT/ды:MORPH
фрагменті	фрагмент:ROOT/і:MORPH
қандай	қандай:ROOT
шешім	шешім:ROOT
жалғыз	жалғыз:ROOT
өзіне	өз:ROOT/і:MORPH/не:MORPH
саясатпен	саясат:ROOT/пен:MORPH
күмәндіде	күмән:ROOT/ді:MORPH/де:MORPH
қарымқатынас	қарымқатынас:ROOT
үшін	үшін:ROOT
Мерсеннді	Мерсенн:ROOT/ді:MORPH
Егер	Егер:ROOT
қозғалыс	қозғалыс:ROOT
Агафон	Агафон:ROOT
тәсілін	тәсіл:ROOT/і:MORPH/н:MORPH
тар	тар:ROOT
де	де:ROOT
махаббатты	махаббат:ROOT/ты:MORPH
құзырындағы	құзырын:ROOT/да:MORPH/ғы:MORPH
тауып	тау:ROOT/ып:MORPH
Өнерде	Өнер:ROOT/де:MORPH
тән	тән:ROOT
диалектика	диалектика:ROOT
мақсаты	мақсат:ROOT/ы:MORPH
деген	де:ROOT/ген:MORPH
диалог	диалог:ROOT
Сиракузалық	Сиракуза:ROOT/лық:MORPH
Осыдан	Осы:ROOT/дан:MORPH
адамның	адам:ROOT/ның:MORPH
ілімдері	іл:ROOT/ім:MORPH/дер:MORPH/і:MORPH
беретін	бер:ROOT/етін:MORPH
осы	осы:ROOT
